timestamp,predicted_flow
2025-07-15T08:29:50.220135,8.7
2025-07-15T08:29:50.614039,8.7
2025-07-15T08:29:51.012166,8.7
2025-07-15T08:29:52.192685,9.4
2025-07-15T08:29:52.976887,9.4
2025-07-15T08:29:53.361105,9.4
2025-07-15T08:29:53.751216,9.4
2025-07-15T08:29:54.138491,9.7
2025-07-15T08:29:54.518187,9.7
2025-07-15T08:29:54.916001,9.7
2025-07-15T08:29:55.294453,11.1
2025-07-15T08:29:55.688523,11.1
2025-07-15T08:29:56.072002,8.2
2025-07-15T08:29:56.457807,11.1
2025-07-15T08:29:56.880002,11.1
2025-07-15T08:29:57.313083,11.1
2025-07-15T08:29:57.713671,11.1
2025-07-15T08:29:58.124669,11.1
2025-07-15T08:29:58.531656,11.1
2025-07-15T08:29:58.972679,8.7
2025-07-15T08:29:59.372880,45.4
2025-07-15T08:29:59.779007,45.4
2025-07-15T08:30:00.172513,8.7
2025-07-15T08:30:00.560539,44.7
2025-07-15T08:30:00.940858,44.7
2025-07-15T08:30:01.322682,44.7
2025-07-15T08:30:01.706878,42.9
2025-07-15T08:30:02.091015,42.9
2025-07-15T08:30:02.467420,42.9
2025-07-15T08:30:02.845350,42.9
2025-07-15T08:30:03.223905,42.9
2025-07-15T08:30:03.600462,42.9
2025-07-15T08:30:03.975014,42.9
2025-07-15T08:30:04.365053,42.9
2025-07-15T08:30:04.740073,42.9
2025-07-15T08:30:05.133261,45.5
2025-07-15T08:30:05.510353,45.5
2025-07-15T08:30:05.957338,44.6
2025-07-15T08:30:06.342990,11.1
2025-07-15T08:30:06.752010,11.1
2025-07-15T08:30:07.167444,45.4
2025-07-15T08:30:07.569005,44.7
2025-07-15T08:30:07.955632,44.7
2025-07-15T08:30:08.344338,44.7
2025-07-15T08:30:08.727136,44.7
2025-07-15T08:30:09.115596,44.7
2025-07-15T08:30:09.505420,42.9
2025-07-15T08:30:09.891998,42.9
2025-07-15T08:30:10.276206,42.9
2025-07-15T08:30:10.662779,42.9
2025-07-15T08:30:11.044599,43.8
2025-07-15T08:30:11.429755,44.7
2025-07-15T08:30:11.817891,42.9
2025-07-15T08:30:12.203016,42.9
2025-07-15T08:30:12.584865,42.9
2025-07-15T08:30:12.973449,42.9
2025-07-15T08:30:13.356166,42.9
2025-07-15T08:30:13.766244,45.5
2025-07-15T08:30:14.147598,46.3
2025-07-15T08:30:14.534181,9.7
2025-07-15T08:30:14.915640,9.1
2025-07-15T08:30:15.302487,45.4
2025-07-15T08:30:15.694700,44.3
2025-07-15T08:30:16.077687,43.4
2025-07-15T08:30:16.464117,11.1
2025-07-15T08:30:16.855592,8.4
2025-07-15T08:30:17.240959,10.1
2025-07-15T08:30:17.627875,10.1
2025-07-15T08:30:18.016074,10.1
2025-07-15T08:30:18.402391,11.5
2025-07-15T08:30:18.785444,11.5
2025-07-15T08:30:19.175451,9.1
2025-07-15T08:30:19.596722,11.5
2025-07-15T08:30:20.008938,11.5
2025-07-15T08:30:20.427355,11.5
2025-07-15T08:30:20.828249,11.5
2025-07-15T08:30:21.222019,10.8
2025-07-15T08:30:21.619141,10.8
2025-07-15T08:30:22.023406,9.1
2025-07-15T08:30:22.423957,10.8
2025-07-15T08:30:22.817378,10.8
2025-07-15T08:30:23.226478,13.4
2025-07-15T08:30:23.627309,46.3
2025-07-15T08:30:24.020994,7.9
2025-07-15T08:30:24.433712,46.3
2025-07-15T08:30:24.838736,43.4
2025-07-15T08:30:25.229340,8.2
2025-07-15T08:30:25.628712,11.1
2025-07-15T08:30:26.059399,11.1
2025-07-15T08:30:26.464965,9.1
2025-07-15T08:30:26.851792,9.1
2025-07-15T08:30:27.259734,11.1
2025-07-15T08:30:27.673148,10.1
2025-07-15T08:30:28.071088,11.5
2025-07-15T08:30:28.467696,11.5
2025-07-15T08:30:28.862522,11.5
2025-07-15T08:30:29.252532,11.5
2025-07-15T08:30:29.646668,11.5
2025-07-15T08:30:30.038904,11.5
2025-07-15T08:30:30.425868,11.5
2025-07-15T08:30:30.808464,11.5
2025-07-15T08:30:31.194182,11.5
2025-07-15T08:30:31.573950,11.5
2025-07-15T08:30:31.978323,45.5
2025-07-15T08:30:32.379771,9.7
2025-07-15T08:30:32.769366,11.1
2025-07-15T08:30:33.151762,9.7
2025-07-15T08:30:33.539371,11.1
2025-07-15T08:30:33.930446,11.1
2025-07-15T08:30:34.326651,11.1
2025-07-15T08:30:34.699541,8.2
2025-07-15T08:30:35.076255,8.4
2025-07-15T08:30:35.450283,11.5
2025-07-15T08:30:35.841132,10.1
2025-07-15T08:30:36.233983,8.4
2025-07-15T08:30:36.644053,11.5
2025-07-15T08:30:37.031092,8.4
2025-07-15T08:30:37.421170,8.4
2025-07-15T08:30:37.806250,8.4
2025-07-15T08:30:38.192837,8.4
2025-07-15T08:30:38.574328,8.4
2025-07-15T08:30:38.962288,8.4
2025-07-15T08:30:39.348673,8.4
2025-07-15T08:30:39.734381,11.5
2025-07-15T08:30:40.120823,44.7
2025-07-15T08:30:40.512111,43.8
2025-07-15T08:30:40.908862,42.9
2025-07-15T08:30:41.293796,44.6
2025-07-15T08:30:41.683131,45.5
2025-07-15T08:30:42.069121,45.5
2025-07-15T08:30:42.454036,11.1
2025-07-15T08:30:42.873528,11.1
2025-07-15T08:30:43.259142,11.1
2025-07-15T08:30:43.646891,11.1
2025-07-15T08:30:44.030520,11.1
2025-07-15T08:30:44.417662,11.1
2025-07-15T08:30:44.803820,11.1
2025-07-15T08:30:45.192735,11.1
2025-07-15T08:30:45.575963,11.1
2025-07-15T08:30:45.962396,11.1
2025-07-15T08:30:46.345610,11.1
2025-07-15T08:30:46.732467,11.1
2025-07-15T08:30:47.117312,11.1
2025-07-15T08:30:47.500003,11.1
2025-07-15T08:30:47.888580,11.1
2025-07-15T08:30:48.275869,42.9
2025-07-15T08:30:48.677405,42.9
2025-07-15T08:30:49.065049,42.9
2025-07-15T08:30:49.450276,46.3
2025-07-15T08:30:49.863075,45.5
2025-07-15T08:30:50.249136,7.9
2025-07-15T08:30:50.635546,7.9
2025-07-15T08:30:51.022217,43.4
2025-07-15T08:30:51.413476,43.4
2025-07-15T08:30:51.799887,46.3
2025-07-15T08:30:52.189566,44.6
2025-07-15T08:30:52.573407,8.2
2025-07-15T08:30:52.962519,11.1
2025-07-15T08:30:53.380925,9.7
