timestamp,weighted_total,traffic_status,average_speed,congestion_level,traffic_flow_efficiency,average_waiting_time,incident_detection_time,fuel_consumption_index,co2_emissions_index,system_uptime,user_satisfaction_score,vehicle_car_count,vehicle_motorcycle_count,vehicle_bus_count,vehicle_truck_count,vehicle_bicycle_count,lane_0_occupancy,lane_1_occupancy,lane_2_occupancy,lane_3_occupancy
2025-07-15T06:38:04.770547,2.5,Low Traffic,0,8.33,0,0,0,150.0,142.5,100.0,51.6,2,1,0,0,0,14.29,35.71,21.43,28.57
2025-07-15T06:38:13.058250,8.0,Low Traffic,3.31,26.67,3.73,5.51,0,147.14,139.78,100.0,48.33,6,4,0,0,0,21.05,26.32,31.58,21.05
2025-07-15T06:38:21.242126,8.5,Low Traffic,4.35,28.33,4.9,0,0,145.55,138.27,100.0,52.46,6,5,0,0,0,22.22,33.33,16.67,27.78
2025-07-15T06:38:29.599921,10.0,Low Traffic,4.6,33.33,5.02,0,0,139.49,132.52,100.0,56.14,4,6,0,1,0,33.33,33.33,8.33,25.0
2025-07-15T06:38:37.922263,13.0,Normal Traffic,4.36,43.33,4.9,3.95,0,145.55,138.27,100.0,50.5,6,8,1,0,0,16.67,55.56,11.11,16.67
2025-07-15T06:38:46.059028,11.0,Normal Traffic,3.24,36.67,4.25,5.98,0,148.87,141.43,100.0,47.24,7,8,0,0,0,23.81,38.1,19.05,19.05
2025-07-15T06:38:54.367978,9.0,Low Traffic,3.2,30.0,4.0,1.62,0,148.0,140.6,100.0,49.85,8,2,0,0,0,35.0,30.0,10.0,25.0
2025-07-15T06:39:02.652118,7.5,Low Traffic,5.18,25.0,7.04,0,0,145.48,138.21,100.0,53.29,7,1,0,0,0,36.84,36.84,0,26.32
2025-07-15T06:39:10.967710,7.5,Low Traffic,4.03,25.0,5.18,0,0,145.41,138.14,100.0,52.66,6,3,0,0,0,33.33,38.89,11.11,16.67
2025-07-15T06:39:19.118043,13.0,Normal Traffic,3.78,43.33,4.96,0,0,149.52,142.04,100.0,50.11,7,6,1,0,0,22.73,50.0,9.09,18.18
2025-07-15T06:39:27.435772,11.5,Normal Traffic,3.38,38.33,5.06,3.94,0,140.47,133.45,100.0,53.6,5,7,1,0,0,7.69,53.85,7.69,30.77
2025-07-15T06:39:31.750196,5.5,Low Traffic,3.35,18.33,4.26,4.29,0,141.87,134.78,100.0,52.29,4,3,0,0,0,7.14,57.14,14.29,21.43
2025-07-15T07:11:39.440317,2.5,Low Traffic,0,8.33,0,0,0,150.0,142.5,100.0,51.6,2,1,0,0,0,14.29,35.71,21.43,28.57
2025-07-15T07:11:47.810584,8.0,Low Traffic,3.6,26.67,4.02,4.23,0,146.99,139.64,100.0,49.16,6,4,0,0,0,21.05,31.58,26.32,21.05
