timestamp,weighted_total,traffic_status,average_speed,congestion_level,traffic_flow_efficiency,average_waiting_time,incident_detection_time,fuel_consumption_index,co2_emissions_index,system_uptime,user_satisfaction_score,vehicle_car_count,vehicle_motorcycle_count,vehicle_bus_count,vehicle_truck_count,vehicle_bicycle_count,lane_0_occupancy,lane_1_occupancy,lane_2_occupancy,lane_3_occupancy
2025-07-17T12:00:18.935288,3.5,Low Traffic,0,11.67,0,0,0,150.0,142.5,100.0,49.2,3,1,0,0,0,22.22,38.89,27.78,11.11
2025-07-17T12:00:27.128945,8.0,Low Traffic,5.56,26.67,7.29,7.03,0,147.35,139.99,100.0,48.75,7,2,0,0,0,19.05,28.57,33.33,19.05
2025-07-17T12:00:35.266997,12.0,Normal Traffic,4.22,40.0,4.99,0,0,140.5,133.48,100.0,55.53,6,6,0,1,0,23.08,46.15,23.08,7.69
2025-07-17T12:00:43.328976,13.0,Normal Traffic,4.86,43.33,5.5,3.58,0,145.25,137.99,100.0,51.08,7,6,0,1,0,22.22,44.44,22.22,11.11
2025-07-17T12:00:51.349550,8.0,Low Traffic,6.3,26.67,7.2,0.75,0,143.4,136.23,100.0,54.22,7,2,0,0,0,29.41,29.41,29.41,11.76
2025-07-17T12:00:59.406021,9.0,Low Traffic,5.5,30.0,6.6,0,0,144.7,137.46,100.0,53.6,9,0,0,0,0,33.33,27.78,16.67,22.22
2025-07-17T12:01:07.637234,9.5,Low Traffic,5.22,31.67,6.17,3.36,0,140.92,133.87,100.0,54.03,8,3,0,0,0,21.43,50.0,21.43,7.14
2025-07-17T12:01:15.843867,13.5,Normal Traffic,5.35,45.0,6.12,0,0,143.94,136.74,100.0,53.88,8,5,1,0,0,5.88,47.06,23.53,23.53
2025-07-17T12:01:17.163589,4.5,Low Traffic,6.92,15.0,9.69,0,0,139.16,132.2,100.0,58.06,4,1,0,0,0,7.14,50.0,28.57,14.29
